t 211Pb 211Bi 207Tl 207Pb
102.3 9 1 2 88
102.4 9 1 2 88
102.5 9 1 2 88
102.6 9 1 2 88
102.7 9 1 2 88
102.8 9 1 2 88
102.9 9 1 2 88
103.0 9 1 2 88
103.1 9 1 2 88
103.2 9 1 2 88
103.3 9 1 2 88
103.4 9 1 2 88
103.5 9 1 2 88
103.6 9 1 2 88
103.7 9 1 2 88
103.8 9 1 2 88
103.9 9 1 2 88
104.0 9 1 2 88
104.1 9 1 2 88
104.2 9 1 2 88
104.3 9 1 2 88
104.4 9 1 2 88
104.5 9 1 2 88
104.6 9 1 2 88
104.7 9 1 2 88
104.8 9 1 2 88
104.9 9 1 2 88
105.0 9 0 3 88
105.1 9 0 3 88
105.2 9 0 3 88
105.3 9 0 3 88
105.4 9 0 3 88
105.5 9 0 3 88
105.6 9 0 3 88
105.7 9 0 3 88
105.8 9 0 3 88
105.9 9 0 1 90
106.0 9 0 1 90
106.1 9 0 1 90
106.2 9 0 1 90
106.3 9 0 1 90
106.4 8 1 1 90
106.5 8 1 1 90
106.6 8 1 1 90
106.7 8 1 1 90
106.8 8 1 1 90
106.9 8 1 1 90
107.0 8 1 1 90
107.1 8 1 1 90
107.2 8 1 1 90
107.3 8 1 1 90
107.4 8 0 2 90
107.5 8 0 2 90
107.6 8 0 2 90
107.7 8 0 2 90
107.8 8 0 2 90
107.9 8 0 1 91
108.0 8 0 1 91
108.1 8 0 1 91
108.2 8 0 1 91
108.3 8 0 1 91
108.4 8 0 1 91
108.5 8 0 1 91
108.6 8 0 1 91
108.7 8 0 1 91
108.8 8 0 1 91
108.9 8 0 1 91
109.0 8 0 1 91
109.1 8 0 1 91
109.2 8 0 1 91
109.3 8 0 1 91
109.4 8 0 1 91
109.5 8 0 1 91
109.6 8 0 1 91
109.7 8 0 1 91
109.8 8 0 1 91
109.9 8 0 1 91
110.0 8 0 1 91
110.1 8 0 1 91
110.2 8 0 1 91
110.3 8 0 1 91
110.4 8 0 1 91
110.5 8 0 1 91
110.6 8 0 1 91
110.7 8 0 1 91
110.8 7 1 1 91
110.9 7 1 1 91
111.0 7 1 1 91
111.1 7 1 1 91
111.2 7 1 1 91
111.3 7 1 1 91
111.4 7 1 1 91
111.5 7 1 1 91
111.6 7 1 1 91
111.7 7 1 1 91
111.8 7 0 2 91
111.9 7 0 2 91
112.0 7 0 2 91
112.1 7 0 2 91
112.2 7 0 2 91
112.3 7 0 2 91
112.4 7 0 2 91
112.5 7 0 2 91
112.6 7 0 2 91
112.7 7 0 2 91
112.8 7 0 2 91
112.9 7 0 2 91
113.0 7 0 2 91
113.1 7 0 2 91
113.2 7 0 2 91
113.3 7 0 2 91
113.4 7 0 2 91
113.5 7 0 2 91
113.6 7 0 2 91
113.7 7 0 2 91
113.8 7 0 2 91
113.9 7 0 2 91
114.0 7 0 2 91
114.1 7 0 2 91
114.2 7 0 2 91
114.3 7 0 2 91
114.4 7 0 2 91
114.5 7 0 2 91
114.6 7 0 2 91
114.7 7 0 2 91
114.8 7 0 2 91
114.9 7 0 2 91
115.0 7 0 2 91
